iShares S&P 100 ETF,,,,,,,,,,,
Inception Date,"Oct 23, 2000",,,,,,,,,,
Fund Holdings as of,"Sep 29, 2017",,,,,,,,,,
Total Net Assets,"4,888,447,512.89",,,,,,,,,,
Shares Outstanding,"43,900,000.00",,,,,,,,,,
Stock,-,,,,,,,,,,
Bond,-,,,,,,,,,,
Cash,-,,,,,,,,,,
Other,-,,,,,,,,,,
 ,,,,,,,,,,,
Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange
SLB,SCHLUMBERGER NV,Equity,0.71,69.76,"495,263.00","34,549,546.88","34,549,546.88",Energy,2779201,AN8068571086,New York Stock Exchange Inc.
UNP,UNION PACIFIC CORP,Equity,0.68,115.97,"285,285.00","33,084,501.45","33,084,501.45",Industrials,2914734,US9078181081,New York Stock Exchange Inc.
ABT,ABBOTT LABORATORIES,Equity,0.68,53.36,"619,292.00","33,045,421.12","33,045,421.12",Health Care,2002305,US0028241000,New York Stock Exchange Inc.
PCLN,THE PRICELINE GROUP INC,Equity,0.66,"1,830.82","17,487.00","32,015,549.34","32,015,549.34",Consumer Discretionary,2779063,US7415034039,NASDAQ
TXN,TEXAS INSTRUMENT INC,Equity,0.65,89.64,"352,888.00","31,632,880.32","31,632,880.32",Information Technology,2885409,US8825081040,NASDAQ
UTX,UNITED TECHNOLOGIES CORP,Equity,0.63,116.08,"264,785.00","30,736,242.80","30,736,242.80",Industrials,2915500,US9130171096,New York Stock Exchange Inc.
GS,GOLDMAN SACHS GROUP INC,Equity,0.63,237.19,"128,243.00","30,417,957.17","30,417,957.17",Financials,2407966,US38141G1040,New York Stock Exchange Inc.
USB,US BANCORP,Equity,0.62,53.59,"566,424.00","30,354,662.16","30,354,662.16",Financials,2736035,US9029733048,New York Stock Exchange Inc.
ACN,ACCENTURE PLC CLASS A,Equity,0.61,135.07,"220,275.00","29,752,544.25","29,752,544.25",Information Technology,B4BNMY3,IE00B4BNMY34,New York Stock Exchange Inc.
LLY,ELI LILLY,Equity,0.61,85.54,"345,338.00","29,540,212.52","29,540,212.52",Health Care,2516152,US5324571083,New York Stock Exchange Inc.
UPS,UNITED PARCEL SERVICE INC CLASS B,Equity,0.61,120.09,"245,505.00","29,482,695.45","29,482,695.45",Industrials,2517382,US9113121068,New York Stock Exchange Inc.
CVS,CVS HEALTH CORP,Equity,0.61,81.32,"362,342.00","29,465,651.44","29,465,651.44",Consumer Staples,2577609,US1266501006,New York Stock Exchange Inc.
TWX,TIME WARNER INC,Equity,0.58,102.45,"277,234.00","28,402,623.30","28,402,623.30",Consumer Discretionary,B63QTN2,US8873173038,New York Stock Exchange Inc.
LMT,LOCKHEED MARTIN CORP,Equity,0.57,310.29,"89,308.00","27,711,379.32","27,711,379.32",Industrials,2522096,US5398301094,New York Stock Exchange Inc.
