As Of,Index Level,NAV per Share,Ex-Dividends,Shares Outstanding
"Oct 16, 2017","2,239.22",113.18,--,"43,500,000.00"
"Oct 13, 2017","2,233.00",112.86,--,"43,450,000.00"
"Oct 12, 2017","2,230.74",112.75,--,"43,450,000.00"
"Oct 11, 2017","2,238.13",113.12,--,"43,500,000.00"
"Oct 10, 2017","2,233.34",112.88,--,"43,500,000.00"
"Oct 09, 2017","2,227.52",112.58,--,"43,500,000.00"
"Oct 06, 2017","2,230.33",112.73,--,"43,500,000.00"
"Oct 05, 2017","2,232.32",112.83,--,"43,500,000.00"
"Oct 04, 2017","2,217.30",112.07,--,"43,550,000.00"
"Oct 03, 2017","2,217.35",112.07,--,"43,550,000.00"
"Oct 02, 2017","2,212.06",111.81,--,"43,650,000.00"
"Sep 29, 2017","2,203.06",111.35,--,"43,900,000.00"
"Sep 28, 2017","2,196.16",111.01,--,"43,900,000.00"
"Sep 27, 2017","2,193.25",110.86,--,"43,950,000.00"
"Sep 26, 2017","2,185.03",110.44,0.54,"44,000,000.00"
"Sep 25, 2017","2,185.53",111.01,--,"44,000,000.00"
"Sep 22, 2017","2,191.48",111.31,--,"44,000,000.00"
"Sep 21, 2017","2,191.05",111.29,--,"44,000,000.00"
"Sep 20, 2017","2,198.52",111.67,--,"44,100,000.00"
"Sep 19, 2017","2,196.73",111.58,--,"44,100,000.00"
"Sep 18, 2017","2,190.80",111.28,--,"44,100,000.00"
"Sep 15, 2017","2,188.52",111.16,--,"44,100,000.00"
"Sep 14, 2017","2,185.31",111.00,--,"43,900,000.00"
"Sep 13, 2017","2,186.92",111.08,--,"43,800,000.00"
"Sep 12, 2017","2,183.25",110.90,--,"43,750,000.00"
"Sep 11, 2017","2,174.33",110.45,--,"43,750,000.00"
"Sep 08, 2017","2,151.44",109.29,--,"43,750,000.00"
"Sep 07, 2017","2,158.12",109.63,--,"43,750,000.00"
"Sep 06, 2017","2,157.97",109.62,--,"43,600,000.00"
"Sep 05, 2017","2,150.65",109.25,--,"43,600,000.00"
