iShares S&P 100 ETF,,,,,,,,,,,
Inception Date,"Oct 23, 2000",,,,,,,,,,
Fund Holdings as of,"Oct 31, 2017",,,,,,,,,,
Total Net Assets,"4,781,400,023.48",,,,,,,,,,
Shares Outstanding,"41,950,000.00",,,,,,,,,,
Stock,-,,,,,,,,,,
Bond,-,,,,,,,,,,
Cash,-,,,,,,,,,,
Other,-,,,,,,,,,,
 ,,,,,,,,,,,
Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange
UNP,UNION PACIFIC CORP,Equity,0.66,115.79,"274,167.00","31,745,796.93","31,745,796.93",Industrials,2914734,US9078181081,New York Stock Exchange Inc.
UTX,UNITED TECHNOLOGIES CORP,Equity,0.64,119.76,"254,483.00","30,476,884.08","30,476,884.08",Industrials,2915500,US9130171096,New York Stock Exchange Inc.
SLB,SCHLUMBERGER NV,Equity,0.64,64,"475,985.00","30,463,040.00","30,463,040.00",Energy,2779201,AN8068571086,New York Stock Exchange Inc.
ACN,ACCENTURE PLC CLASS A,Equity,0.63,142.36,"211,707.00","30,138,608.52","30,138,608.52",Information Technology,B4BNMY3,IE00B4BNMY34,New York Stock Exchange Inc.
GS,GOLDMAN SACHS GROUP INC,Equity,0.63,242.48,"123,245.00","29,884,447.60","29,884,447.60",Financials,2407966,US38141G1040,New York Stock Exchange Inc.
USB,US BANCORP,Equity,0.62,54.38,"544,358.00","29,602,188.04","29,602,188.04",Financials,2736035,US9029733048,New York Stock Exchange Inc.
PYPL,PAYPAL HOLDINGS INC,Equity,0.59,72.56,"387,194.00","28,094,796.64","28,094,796.64",Information Technology,BYW36M8,US70450Y1038,NASDAQ
UPS,UNITED PARCEL SERVICE INC CLASS B,Equity,0.58,117.53,"235,951.00","27,731,321.03","27,731,321.03",Industrials,2517382,US9113121068,New York Stock Exchange Inc.
CAT,CATERPILLAR INC,Equity,0.58,135.8,"202,453.00","27,493,117.40","27,493,117.40",Industrials,2180201,US1491231015,New York Stock Exchange Inc.
LLY,ELI LILLY,Equity,0.57,81.94,"331,874.00","27,193,755.56","27,193,755.56",Health Care,2516152,US5324571083,New York Stock Exchange Inc.
SBUX,STARBUCKS CORP,Equity,0.57,54.84,"494,596.00","27,123,644.64","27,123,644.64",Consumer Discretionary,2842255,US8552441094,NASDAQ
CELG,CELGENE CORP,Equity,0.57,100.97,"268,016.00","27,061,575.52","27,061,575.52",Health Care,2182348,US1510201049,NASDAQ
LMT,LOCKHEED MARTIN CORP,Equity,0.55,308.16,"85,840.00","26,452,454.40","26,452,454.40",Industrials,2522096,US5398301094,New York Stock Exchange Inc.
TWX,TIME WARNER INC,Equity,0.55,98.29,"266,422.00","26,186,618.38","26,186,618.38",Consumer Discretionary,B63QTN2,US8873173038,New York Stock Exchange Inc.
QCOM,QUALCOMM INC,Equity,0.54,51.01,"506,113.00","25,816,824.13","25,816,824.13",Information Technology,2714923,US7475251036,NASDAQ
NEE,NEXTERA ENERGY INC,Equity,0.52,155.07,"160,378.00","24,869,816.46","24,869,816.46",Utilities,2328915,US65339F1012,New York Stock Exchange Inc.
NKE,NIKE INC CLASS B,Equity,0.52,54.99,"450,120.00","24,752,098.80","24,752,098.80",Consumer Discretionary,2640147,US6541061031,New York Stock Exchange Inc.
MS,MORGAN STANLEY,Equity,0.51,50,"484,447.00","24,222,350.00","24,222,350.00",Financials,2262314,US6174464486,New York Stock Exchange Inc.
COST,COSTCO WHOLESALE CORP,Equity,0.51,161.08,"150,245.00","24,201,464.60","24,201,464.60",Consumer Staples,2701271,US22160K1051,NASDAQ
AXP,AMERICAN EXPRESS,Equity,0.5,95.52,"251,316.00","24,005,704.32","24,005,704.32",Financials,2026082,US0258161092,New York Stock Exchange Inc.
CVS,CVS HEALTH CORP,Equity,0.5,68.53,"348,232.00","23,864,338.96","23,864,338.96",Consumer Staples,2577609,US1266501006,New York Stock Exchange Inc.
LOW,LOWES COMPANIES INC,Equity,0.48,79.95,"289,181.00","23,120,020.95","23,120,020.95",Consumer Discretionary,2536763,US5486611073,New York Stock Exchange Inc.
CHTR,CHARTER COMMUNICATIONS INC CLASS A,Equity,0.48,334.17,"68,910.00","23,027,654.70","23,027,654.70",Consumer Discretionary,BZ6VT82,US16119P1084,NASDAQ
BIIB,BIOGEN INC INC,Equity,0.47,311.66,"72,441.00","22,576,962.06","22,576,962.06",Health Care,2455965,US09062X1037,NASDAQ
MDLZ,MONDELEZ INTERNATIONAL INC CLASS A,Equity,0.45,41.43,"516,432.00","21,395,777.76","21,395,777.76",Consumer Staples,B8CKK03,US6092071058,NASDAQ
COP,CONOCOPHILLIPS,Equity,0.45,51.15,"416,867.00","21,322,747.05","21,322,747.05",Energy,2685717,US20825C1045,New York Stock Exchange Inc.
CL,COLGATE-PALMOLIVE,Equity,0.44,70.45,"301,722.00","21,256,314.90","21,256,314.90",Consumer Staples,2209106,US1941621039,New York Stock Exchange Inc.
DUK,DUKE ENERGY CORP,Equity,0.44,88.31,"239,739.00","21,171,351.09","21,171,351.09",Utilities,B7VD3F2,US26441C2044,New York Stock Exchange Inc.
WBA,WALGREEN BOOTS ALLIANCE INC,Equity,0.44,66.27,"315,237.00","20,890,755.99","20,890,755.99",Consumer Staples,BTN1Y44,US9314271084,NASDAQ
AGN,ALLERGAN,Equity,0.42,177.23,"114,527.00","20,297,620.21","20,297,620.21",Health Care,BY9D546,IE00BY9D5467,New York Stock Exchange Inc.
AIG,AMERICAN INTERNATIONAL GROUP INC,Equity,0.42,64.61,"309,460.00","19,994,210.60","19,994,210.60",Financials,2027342,US0268747849,New York Stock Exchange Inc.
BLK,BLACKROCK INC,Equity,0.42,470.83,"42,445.00","19,984,379.35","19,984,379.35",Financials,2494504,US09247X1019,New York Stock Exchange Inc.
MET,METLIFE INC,Equity,0.41,53.58,"364,090.00","19,507,942.20","19,507,942.20",Financials,2573209,US59156R1086,New York Stock Exchange Inc.
GD,GENERAL DYNAMICS CORP,Equity,0.4,202.98,"95,390.00","19,362,262.20","19,362,262.20",Industrials,2365161,US3695501086,New York Stock Exchange Inc.
DHR,DANAHER CORP,Equity,0.4,92.27,"209,397.00","19,321,061.19","19,321,061.19",Health Care,2250870,US2358511028,New York Stock Exchange Inc.
GM,GENERAL MOTORS,Equity,0.4,42.98,"449,276.00","19,309,882.48","19,309,882.48",Consumer Discretionary,B665KZ5,US37045V1008,New York Stock Exchange Inc.
FDX,FEDEX CORP,Equity,0.4,225.81,"84,532.00","19,088,170.92","19,088,170.92",Industrials,2142784,US31428X1063,New York Stock Exchange Inc.
MON,MONSANTO,Equity,0.38,121.1,"150,508.00","18,226,518.80","18,226,518.80",Materials,2654320,US61166W1018,New York Stock Exchange Inc.
BK,BANK OF NEW YORK MELLON CORP,Equity,0.38,51.45,"353,906.00","18,208,463.70","18,208,463.70",Financials,B1Z77F6,US0640581007,New York Stock Exchange Inc.
RTN,RAYTHEON,Equity,0.37,180.2,"99,425.00","17,916,385.00","17,916,385.00",Industrials,2758051,US7551115071,New York Stock Exchange Inc.
